import time: self [us] | cumulative | imported package
import time:       995 |      20077 |               livekit.protocol.agent
import time:       204 |        204 |                 livekit.protocol.agent_pb.agent_dev
import time:       161 |        161 |                   google.protobuf.struct_pb2
import time:       114 |        114 |                   google.protobuf.duration_pb2
import time:       862 |       1136 |                 livekit.protocol.agent_pb.agent_session
import time:       390 |        390 |                 livekit.protocol.agent_pb.agent_text
import time:       775 |        775 |                 livekit.protocol.agent_pb.agent_inference
import time:       307 |       2811 |               livekit.protocol.agent_pb
import time:       358 |        358 |               livekit.protocol.agent_dispatch
import time:       744 |        744 |                 livekit.protocol.cloud_agent
import time:      1365 |       2109 |               livekit.protocol.agent_simulation
import time:       247 |        247 |               livekit.protocol.agent_worker
import time:       779 |        779 |                 livekit.protocol.egress
import time:       344 |        344 |                 livekit.protocol.ingress
import time:       555 |        555 |                 livekit.protocol.room
import time:       178 |        178 |                   google.protobuf.any_pb2
import time:        99 |         99 |                   google.protobuf.empty_pb2
import time:       878 |       1154 |                 livekit.protocol.sip
import time:       396 |       3226 |               livekit.protocol.analytics
import time:       379 |        379 |               livekit.protocol.webhook
import time:       228 |        228 |               livekit.protocol.version
import time:      2339 |      31770 |             livekit.protocol
import time:        11 |      31780 |           livekit.protocol.agent_dispatch
import time:       677 |        677 |             livekit.protocol.rtc
import time:       532 |       1209 |           livekit.protocol.connector_whatsapp
import time:       137 |        137 |           livekit.protocol.connector_twilio
import time:       524 |        524 |             livekit.api._failover
import time:       216 |        216 |             livekit.api.version
import time:       802 |       1542 |           livekit.api.twirp_client
import time:       237 |        237 |                         hmac
import time:       377 |        377 |                         jwt.exceptions
import time:       660 |        660 |                         jwt.types
import time:       258 |        258 |                                     cryptography.__about__
import time:      2047 |       2305 |                                   cryptography
import time:      1054 |       3358 |                                 cryptography.hazmat
import time:       943 |       4301 |                               cryptography.hazmat.primitives
import time:      1101 |       5402 |                             cryptography.hazmat.primitives.asymmetric
import time:       401 |        401 |                             cryptography.utils
import time:       394 |        394 |                                 cryptography.hazmat.bindings
import time:      1235 |       1235 |                                 _cffi_backend
import time:      2661 |       4289 |                               cryptography.hazmat.bindings._rust
import time:       301 |       4590 |                             cryptography.exceptions
import time:       490 |        490 |                               cryptography.hazmat.primitives.hashes
import time:       454 |        943 |                             cryptography.hazmat._oid
import time:       315 |        315 |                             cryptography.hazmat.primitives._serialization
import time:       311 |        311 |                             cryptography.hazmat.primitives.asymmetric.utils
import time:       532 |      12491 |                           cryptography.hazmat.primitives.asymmetric.ec
import time:       573 |      13063 |                         jwt.utils
import time:       207 |        207 |                         cryptography.hazmat.backends
import time:       174 |        174 |                           cryptography.hazmat.primitives._asymmetric
import time:       237 |        237 |                           cryptography.hazmat.primitives.asymmetric.rsa
import time:       254 |        663 |                         cryptography.hazmat.primitives.asymmetric.padding
import time:       219 |        219 |                         cryptography.hazmat.primitives.asymmetric.ed448
import time:       230 |        230 |                         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       263 |        263 |                           cryptography.hazmat.primitives.asymmetric.dh
import time:       208 |        208 |                           cryptography.hazmat.primitives.serialization.base
import time:       172 |        172 |                             cryptography.hazmat.primitives.asymmetric.dsa
import time:       278 |        278 |                               cryptography.hazmat.primitives._cipheralgorithm
import time:       296 |        296 |                                       cryptography.hazmat.decrepit
import time:       200 |        496 |                                     cryptography.hazmat.decrepit.ciphers
import time:       146 |        146 |                                     cryptography.hazmat.primitives._modes
import time:       250 |        891 |                                   cryptography.hazmat.decrepit.ciphers.modes
import time:       169 |        169 |                                     cryptography.hazmat.decrepit.ciphers.algorithms
import time:       155 |        323 |                                   cryptography.hazmat.primitives.ciphers.algorithms
import time:       233 |       1447 |                                 cryptography.hazmat.primitives.ciphers.modes
import time:       276 |       1722 |                               cryptography.hazmat.primitives.ciphers.base
import time:       283 |       2282 |                             cryptography.hazmat.primitives.ciphers
import time:        51 |         51 |                             bcrypt
import time:      1226 |       3730 |                           cryptography.hazmat.primitives.serialization.ssh
import time:       790 |       4989 |                         cryptography.hazmat.primitives.serialization
import time:       590 |      21233 |                       jwt.algorithms
import time:       623 |      21855 |                     jwt.api_jwk
import time:       281 |        281 |                       jwt.warnings
import time:       419 |        700 |                     jwt.api_jws
import time:       378 |        378 |                     jwt.api_jwt
import time:       190 |        190 |                       jwt.jwk_set_cache
import time:       320 |        509 |                     jwt.jwks_client
import time:       586 |      24027 |                   jwt
import time:       546 |        546 |                   google.protobuf.json_format
import time:      1620 |      26192 |                 livekit.api.access_token
import time:       209 |      26400 |               livekit.api._service
import time:       251 |      26650 |             livekit.api.room_service
import time:       296 |        296 |             livekit.api.egress_service
import time:       382 |        382 |             livekit.api.ingress_service
